,time,k,n_steps,strategy,n_paths
0,83.4,20.0,5,k_path_beam,
1,195.2,40.0,5,k_path_beam,
2,263.76,60.0,5,k_path_beam,
3,267.34,80.0,5,k_path_beam,
4,345.28,100.0,5,k_path_beam,
5,380.57,120.0,5,k_path_beam,
6,401.07,140.0,5,k_path_beam,
7,448.07,160.0,5,k_path_beam,
8,485.15,180.0,5,k_path_beam,
9,503.68,190.0,5,k_path_beam,
10,68.77,2.0,5,k_path_tree,
11,124.81,3.0,5,k_path_tree,
12,208.9,4.0,5,k_path_tree,
13,554.52,5.0,5,k_path_tree,
14,802.15,6.0,5,k_path_tree,
15,2252.33,8.0,5,k_path_tree,
16,123.44,,5,prob,25.0
17,239.39,,5,prob,50.0
18,415.21,,5,prob,100.0
19,818.39,,5,prob,200.0
20,1574.96,,5,prob,400.0
21,3069.1,,5,prob,800.0
