compound,targets,mutations,moa-broad,moa-fine,human-approved,clinical-trials,gpt-notes-approval
(R)-Verapamil (hydrochloride),ABCB1,n/a,inhibitor/antagonist,unclear,no,yes,"Racemic verapamil is approved, but not specifically (R)-enantiomer alone."
(S)-Crizotinib,NUDT1,n/a,inhibitor/antagonist,unclear,no,yes,"Racemic mixture Crizotinib is approved, not specific enantiomer."
18β-Glycyrrhetinic acid,none,n/a,unclear,unclear,no,yes,"Used in cosmetics, derived from licorice root, no approval for human drugs."
4EGI-1,EIF4E,n/a,inhibitor/antagonist,Protein synthesis inhibitor,no,no,No clinical trials found for 4EGI-1 on clinicaltrials.gov.
5-Azacytidine,DNMT1,n/a,inhibitor/antagonist,DNA methyltransferase inhibitor,yes,yes,"Approved for use in specific cancers, such as myelodysplastic syndromes."
5-Fluorouracil,TYMS,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Widely used chemotherapy drug. Approved for cancer treatment.
8-Hydroxyquinoline,none,n/a,unclear,unclear,no,yes,"Used in some clinical trial formulations, not approved as standalone drug."
9-ING-41,GSK3B,n/a,inhibitor/antagonist,GSK3 inhibitor,no,yes,"Investigational drug, not approved for human use yet."
Abemaciclib,"CDK4, CDK6",n/a,inhibitor/antagonist,CDK inhibitor,yes,yes,"FDA approved for HR-positive, HER2-negative breast cancer."
Abiraterone acetate,CYP17A1,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for prostate cancer treatment.
Acetazolamide,none,n/a,inhibitor/antagonist,unclear,yes,yes,"Used to treat glaucoma, epilepsy, and altitude sickness since 1950s."
Acetohexamide,none,n/a,activator/agonist,unclear,yes,yes,"First-generation sulfonylurea, used for type 2 diabetes treatment."
Adagrasib,KRAS,KRASG12C,inhibitor/antagonist,RAS inhibitor,yes,yes,Approved for treating KRAS G12C-mutated non-small cell lung cancer.
Adenine,none,n/a,unclear,unclear,no,no,Commonly found in supplements; not a drug approved by itself.
Adenosine,"ADORA1, ADORA2A, ADORA2B, ADORA3",n/a,unclear,unclear,yes,yes,Used for certain arrhythmias; approved as a drug.
Afatinib,"EGFR, ERBB2","EGFRL858R, EGFRT790M/L858R",inhibitor/antagonist,EGFR/ERBB inhibitor,yes,yes,"Approved for treatment of certain cancers, such as non-small cell lung cancer."
Aliskiren,REN,n/a,inhibitor/antagonist,unclear,yes,yes,Renin inhibitor for hypertension. Approved in the US and EU.
Allantoin,none,n/a,unclear,unclear,yes,yes,Allantoin is approved as a skin protectant by the FDA.
Allopurinol,XDH,n/a,inhibitor/antagonist,unclear,yes,yes,"Approved for gout treatment, reduces uric acid levels."
Almonertinib (hydrochloride),EGFR,"EGFRT790M, EGFRT790M/L858R, EGFRdel19T790M",inhibitor/antagonist,EGFR/ERBB inhibitor,yes,yes,Approved in China for non-small cell lung cancer.
Almonertinib (mesylate),EGFR,"EGFRT790M, EGFRT790M/L858R, EGFRdel19T790M",inhibitor/antagonist,EGFR/ERBB inhibitor,yes,yes,Approved in China for NSCLC treatment.
Alpelisib,PIK3CA,"PIK3CAH1047R, PIK3CAE545K",inhibitor/antagonist,PI3K/AKT inhibitor,yes,yes,Approved for HR+/HER2- advanced breast cancer in combination with fulvestrant.
Altretamine,none,n/a,unclear,DNA synthesis/repair inhibitor,yes,yes,Used as a chemotherapy drug for ovarian cancer.
Amsacrine,TOP2A,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Used in the treatment of acute leukemias.
Anastrozole,CYP19A1,n/a,inhibitor/antagonist,unclear,yes,yes,Used to treat breast cancer in postmenopausal women.
Anethole trithione,none,n/a,unclear,unclear,no,yes,Investigated for dry mouth in clinical trials.
Apalutamide,AR,n/a,inhibitor/antagonist,Androgen receptor antagonist,yes,yes,Used for non-metastatic castration-resistant prostate cancer.
Aprepitant,TACR1,n/a,inhibitor/antagonist,unclear,yes,yes,Aprepitant is approved for preventing chemotherapy-induced nausea and vomiting.
APTO-253,"MYC, KLF4",n/a,unclear,unclear,no,yes,"Investigated for cancer, but development discontinued."
Arbutin,"MYC, KLF4",n/a,inhibitor/antagonist,unclear,no,yes,"Used in cosmetics, trials for skin-lightening, not approved as a drug."
Artemether,none,n/a,unclear,unclear,yes,yes,Artemether is used in combination with lumefantrine to treat malaria.
Artesunate,none,n/a,inhibitor/antagonist,JAK/STAT inhibitor,yes,yes,"Used for severe malaria, often partnered with other antimalarial drugs."
Asciminib,ABL1,n/a,inhibitor/antagonist,Other TK inhibitor,yes,yes,Approved for chronic myeloid leukemia (CML) treatment.
Aspirin,"PTGS1, PTGS2",n/a,inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Used widely for pain relief and anti-inflammatory purposes.
AT7519,"CDK2, CDK4, CDK5, CDK6, CDK9, CDK1, CDK7, GSK3B",n/a,inhibitor/antagonist,CDK inhibitor,no,yes,Tested in trials for cancer treatments.
Ataluren,CFTR,CFTRG542X,inhibitor/antagonist,unclear,yes,yes,For Duchenne muscular dystrophy with specific genetic mutation.
Atazanavir (sulfate),CYP3A4,n/a,inhibitor/antagonist,unclear,yes,yes,"Antiretroviral, approved for HIV treatment."
Auranofin,"TXNRD1, TXNRD2",n/a,inhibitor/antagonist,unclear,yes,yes,Approved for rheumatoid arthritis treatment since 1985.
AZD-7648,PRKDC,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,no,yes,"Inhibitor studied for DNA repair, not yet approved for human use."
AZD-8055,MTOR,n/a,inhibitor/antagonist,MTOR inhibitor,no,yes,Investigational drug; explored in trials mainly for cancer treatment.
AZD1390,ATM,n/a,inhibitor/antagonist,unclear,no,yes,"Investigational ATM kinase inhibitor in clinical trials, not approved for human use."
AZD2858,"GSK3B, GSK3A",n/a,inhibitor/antagonist,GSK3 inhibitor,no,no,Investigated in rodent models.
